Season,Lg,Team
2016-17,NHL,Pittsburgh Penguins
2015-16,NHL,Pittsburgh Penguins
2014-15,NHL,Chicago Blackhawks
2013-14,NHL,Los Angeles Kings
2012-13,NHL,Chicago Blackhawks
2011-12,NHL,Los Angeles Kings
2010-11,NHL,Boston Bruins
2009-10,NHL,Chicago Blackhawks
2008-09,NHL,Pittsburgh Penguins
2007-08,NHL,Detroit Red Wings
2006-07,NHL,Anaheim Ducks
2005-06,NHL,Carolina Hurricanes
2003-04,NHL,Tampa Bay Lightning
2002-03,NHL,New Jersey Devils
2001-02,NHL,Detroit Red Wings
2000-01,NHL,Colorado Avalanche
1999-00,NHL,New Jersey Devils
1998-99,NHL,Dallas Stars
1997-98,NHL,Detroit Red Wings
1996-97,NHL,Detroit Red Wings
1995-96,NHL,Colorado Avalanche
1994-95,NHL,New Jersey Devils
1993-94,NHL,New York Rangers
1992-93,NHL,Montreal Canadiens
1991-92,NHL,Pittsburgh Penguins
1990-91,NHL,Pittsburgh Penguins
1989-90,NHL,Edmonton Oilers
1988-89,NHL,Calgary Flames
1987-88,NHL,Edmonton Oilers
1986-87,NHL,Edmonton Oilers
1985-86,NHL,Montreal Canadiens
1984-85,NHL,Edmonton Oilers
1983-84,NHL,Edmonton Oilers
1982-83,NHL,New York Islanders
1981-82,NHL,New York Islanders
1980-81,NHL,New York Islanders
1979-80,NHL,New York Islanders
1978-79,NHL,Montreal Canadiens
1977-78,NHL,Montreal Canadiens
1976-77,NHL,Montreal Canadiens
1975-76,NHL,Montreal Canadiens
1974-75,NHL,Philadelphia Flyers
1973-74,NHL,Philadelphia Flyers
1972-73,NHL,Montreal Canadiens
1971-72,NHL,Boston Bruins
1970-71,NHL,Montreal Canadiens
1969-70,NHL,Boston Bruins
1968-69,NHL,Montreal Canadiens
1967-68,NHL,Montreal Canadiens
1966-67,NHL,Toronto Maple Leafs
1965-66,NHL,Montreal Canadiens
1964-65,NHL,Montreal Canadiens
1963-64,NHL,Toronto Maple Leafs
1962-63,NHL,Toronto Maple Leafs
1961-62,NHL,Toronto Maple Leafs
1960-61,NHL,Chicago Black Hawks
1959-60,NHL,Montreal Canadiens
1958-59,NHL,Montreal Canadiens
1957-58,NHL,Montreal Canadiens
1956-57,NHL,Montreal Canadiens
1955-56,NHL,Montreal Canadiens
1954-55,NHL,Detroit Red Wings
1953-54,NHL,Detroit Red Wings
1952-53,NHL,Montreal Canadiens
1951-52,NHL,Detroit Red Wings
1950-51,NHL,Toronto Maple Leafs
1949-50,NHL,Detroit Red Wings
1948-49,NHL,Toronto Maple Leafs
1947-48,NHL,Toronto Maple Leafs
1946-47,NHL,Toronto Maple Leafs
1945-46,NHL,Montreal Canadiens
1944-45,NHL,Toronto Maple Leafs
1943-44,NHL,Montreal Canadiens
1942-43,NHL,Detroit Red Wings
1941-42,NHL,Toronto Maple Leafs
1940-41,NHL,Boston Bruins
1939-40,NHL,New York Rangers
1938-39,NHL,Boston Bruins
1937-38,NHL,Chicago Black Hawks
1936-37,NHL,Detroit Red Wings
1935-36,NHL,Detroit Red Wings
1934-35,NHL,Montreal Maroons
1933-34,NHL,Chicago Black Hawks
1932-33,NHL,New York Rangers
1931-32,NHL,Toronto Maple Leafs
1930-31,NHL,Montreal Canadiens
1929-30,NHL,Montreal Canadiens
1928-29,NHL,Boston Bruins
1927-28,NHL,New York Rangers
1926-27,NHL,Ottawa Senators
1925-26,NHL,Montreal Maroons
1923-24,NHL,Montreal Canadiens
1922-23,NHL,Ottawa Senators
1921-22,NHL,Toronto St. Patricks
1920-21,NHL,Ottawa Senators
1919-20,NHL,Ottawa Senators
1917-18,NHL,Toronto Arenas
